1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 
0.096426 0.040818 0.042758 0.101332 0.043249 0.047607 0.068971 0.029231 0.065354 0.076961 0.041851 0.056527 0.095797 0.016759 0.067059 0.019994 0.058501 0.004122 0.053751 0.072205 0.042661 0.044828 0.057458 0.052880 0.055642 0.109622 0.036759 0.012410 0.031320 0.057414 0.047341 0.045995 0.048892 0.064371 0.036287 0.061957 0.024547 0.086471 0.047601 0.081854 0.099573 0.006706 0.006228 0.090854 0.067443 0.082273 0.058488 0.052607 0.017439 0.066252 
-25 -89 -67 -12 -158 -57 -13 0 -30 -29 -95 -36 -39 0 -13 0 0 0 -638 0 -78 0 -638 -307 -514 -25 -93 0 0 -98 -4 -68 -79 -62 0 -9 0 -109 -2 -39 -52 0 0 -40 -7 -4 -51 -10 0 0 
iterations iterations iterations iterations iterations iterations iterations zero iterations iterations iterations iterations iterations zero iterations zero zero zero iterations zero iterations zero iterations iterations iterations iterations iterations zero zero iterations iterations iterations iterations iterations zero iterations zero iterations iterations iterations iterations zero zero iterations iterations iterations iterations iterations zero zero 
46 21 21 40 22 22 37 11 33 40 21 27 41 6 34 7 22 1 22 29 24 18 24 23 23 60 21 4 13 29 25 23 22 32 13 30 8 33 24 42 48 2 2 35 36 40 33 31 8 31 
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 
7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 
0.084154 0.113810 0.088107 0.098840 0.006746 0.051139 0.037680 0.032171 0.076131 0.041422 0.098138 0.046767 0.065919 0.059047 0.053793 0.075984 0.007464 0.048990 0.064154 0.038910 0.056711 0.054383 0.057267 0.068672 0.100535 0.044084 0.055822 0.086673 0.051897 0.045670 0.059616 0.075904 0.084092 0.044540 0.042030 0.083775 0.051861 0.048511 0.051370 0.007348 0.042775 0.012299 0.061463 0.058604 0.089552 0.009782 0.050929 0.213551 0.058043 0.017121 
-57 -3 -103 0 0 -66 0 0 -41 -6 -1 -7 -87 -100 0 -449 0 -5 -76 -11 -11 -99 -10 -21 -126 -4 -20 -4 -10 -2 -38 -6 -58 -16 0 -53 -70 -2 -6 0 -9 0 -524 -82 -5 0 -22 -11 -8 0 
iterations iterations iterations zero zero iterations zero zero iterations iterations iterations iterations iterations iterations zero iterations zero iterations iterations iterations iterations iterations iterations iterations iterations iterations iterations iterations iterations iterations iterations iterations iterations iterations zero iterations iterations iterations iterations zero iterations zero iterations iterations iterations zero iterations iterations iterations zero 
37 61 32 43 2 23 14 15 40 21 52 22 27 27 22 29 2 29 24 23 29 22 31 34 42 21 24 42 26 24 31 33 39 21 17 42 29 25 25 2 21 4 22 28 45 3 26 68 30 6 
